#  Harrison, Van Buren, Birney
AL,7,28515,33996,0
AR,3,5160,6679,0
CT,8,31598,25281,0
DE,3,5967,4872,0
GA,11,40339,31983,0
IL,5,45574,47441,160
IN,9,65302,51604,0
KY,15,58488,32616,0
LA,5,11296,7616,0
ME,10,46612,46190,0
MD,10,33528,28752,0
MA,14,72852,52355,1618
MI,3,22933,21096,321
MS,4,19515,17010,0
MO,4,22954,29969,0
NH,7,26310,32774,872
NJ,8,33351,31034,69
NY,42,226001,212733,2809
NC,15,46567,34168,0
OH,21,148157,124782,903
PA,30,144010,143676,340
RI,4,5278,3301,42
SC,11,0,1,0
TN,15,60194,47951,0
VT,7,32445,18009,319
VA,23,42637,43757,0
