#  Grant, Seymour
AL,8,76667,72921
AR,5,22112,19078
CA,5,54588,54068
CT,6,50789,47781
DE,3,7614,10957
FL,3,1,0
GA,9,57109,102707
IL,16,250304,199116
IN,13,176548,166980
IA,8,120399,74040
KS,3,30027,13600
KY,11,39566,115889
LA,7,33263,80225
ME,7,70502,42460
MD,7,30438,62357
MA,12,136379,59103
MI,8,128563,97069
MN,4,43545,28075
MO,11,86860,65628
NE,3,9772,5519
NV,3,6474,5215
NH,5,37718,30575
NJ,7,80132,83001
NY,33,419888,429883
NC,9,96939,84559
OH,21,280159,238506
OR,3,10961,11125
PA,26,342280,313382
RI,4,13017,6494
SC,6,62301,45237
TN,10,56628,26129
VT,5,44173,12051
WV,5,29105,20306
WI,8,108920,84708
