#  Taft, Bryan, Debs, Chafin, Hisgen, Watson, Gillhaus
AL,11,25561,74391,1450,690,497,1576,0
AR,9,56624,87015,5842,1026,289,1026,0
CA,10,214398,127492,28659,11770,4278,0,0
CO,5,123693,126644,7960,5559,0,0,0
CT,7,112915,68255,5113,2380,728,0,608
DE,3,25014,22055,239,670,29,0,0
FL,5,10654,31104,3747,1356,553,1946,0
GA,13,41355,72350,584,1452,76,16687,0
ID,3,52621,36162,6400,1986,124,0,0
IL,27,629932,450810,34711,29364,7724,633,1680
IN,15,348993,338262,13476,18045,514,1193,643
IA,13,275209,200771,8287,9837,404,261,0
KS,10,197216,161209,12420,5033,68,0,0
KY,13,235711,244092,4093,5885,200,333,405
LA,9,8958,63568,2514,0,77,0,0
ME,6,66987,35403,1758,1487,700,1,0
MD,8,116513,115908,2323,3302,485,0,0
MA,16,265966,155543,10779,4374,19237,0,1011
MI,14,335580,175771,11586,16974,760,0,1096
MN,11,195843,109401,14527,11107,426,0,0
MS,10,4363,60287,978,0,0,1276,0
MO,18,347203,346574,15431,4284,402,1165,868
MT,3,32333,29326,5855,827,481,0,0
NE,8,126997,131099,3524,5179,0,0,0
NV,3,10775,11212,2103,0,436,0,0
NH,4,53149,33655,1299,905,584,0,0
NJ,12,265298,182522,10249,4930,2916,0,1196
NY,39,870070,667468,38451,22667,35817,0,3877
NC,12,114887,136928,372,354,0,0,0
ND,4,57680,32885,2421,1496,43,0,0
OH,23,572312,502721,33795,11402,439,162,721
OK,7,110474,122363,21734,0,0,412,0
OR,4,62530,38049,7339,2682,289,0,0
PA,34,745779,448782,33914,36694,1057,0,1224
RI,4,43942,24706,1365,1016,1105,0,183
SC,9,3945,62288,100,0,46,0,0
SD,4,67536,40266,2846,4039,88,0,0
TN,12,117977,135608,1870,301,332,1092,0
TX,18,65666,217302,7870,1634,115,994,176
UT,3,61028,42601,4895,0,87,0,0
VT,4,39552,11496,0,799,804,0,0
VA,12,52572,82946,255,1111,51,105,25
WA,5,106062,58691,14177,4700,249,0,0
WV,7,137869,111418,3679,5139,0,0,0
WI,13,247747,166662,28147,11565,0,0,318
WY,3,20846,14918,1715,66,64,0,0
