#  Wilson, Roosevelt, Taft, Debs, Chafin, Reimer
AL,12,82438,22680,9807,3029,0,0
AZ,3,10324,6949,3021,3163,265,0
AR,9,68814,21644,25585,8153,908,0
CA,13,283436,283610,3914,79201,23366,0
CO,6,114232,72306,58386,16418,5063,475
CT,7,74561,34129,68324,10056,2068,1260
DE,3,22631,8886,15998,556,623,0
FL,6,35343,4555,4279,4806,1854,0
GA,14,93087,21985,5191,1058,149,0
ID,4,33921,25527,32810,11960,1536,0
IL,29,405048,386478,253593,81278,15710,4066
IN,15,281890,162007,151267,36931,19249,3130
IA,13,185325,161819,119805,16967,8440,0
KS,10,143663,120210,74845,26779,0,0
KY,13,219484,101766,115510,11646,3253,1055
LA,10,60871,9283,3833,5261,0,0
ME,6,51113,48495,26545,2541,946,0
MD,8,112674,57789,54956,3996,2244,322
MA,18,173408,142228,155948,12616,2754,1102
MI,15,150751,214584,152244,23211,8934,1252
MN,12,106426,125856,64334,27505,7886,2212
MS,10,57324,3549,1560,2050,0,0
MO,18,330746,124375,207821,28466,5380,1778
MT,4,27941,22456,18512,10885,32,0
NE,8,109008,72681,54226,10185,3383,0
NV,3,7986,5620,3196,3313,0,0
NH,4,34724,17794,32927,1981,535,0
NJ,14,178289,145410,88835,15948,2936,1321
NM,3,20437,8347,17733,2859,0,0
NY,45,655573,390093,455487,63434,19455,4273
NC,12,144407,69135,29129,987,118,0
ND,5,29555,25726,23090,6966,1243,0
OH,24,424834,229807,278168,90144,11511,2630
OK,10,119156,0,90786,41674,2185,0
OR,5,47064,37600,34673,13343,4360,0
PA,38,395637,444894,273360,83614,19525,706
RI,5,30412,16878,27703,2049,616,236
SC,9,48357,1293,536,164,0,0
SD,5,48942,58811,0,4662,3910,0
TN,12,133021,54041,60475,3564,832,0
TX,20,221589,28853,26755,25743,1738,442
UT,4,36579,24174,42100,9023,0,510
VT,4,15354,22132,23332,928,1095,0
VA,12,90332,21776,23288,820,709,50
WA,7,86840,113698,70445,40134,9810,1872
WV,8,113197,79112,56754,15248,4517,0
WI,13,164230,62448,130596,33476,8584,632
WY,3,15310,9232,14560,2760,434,0
