#  Hoover, Smith, Thomas, Foster, Reynolds
AL,12,120725,127797,460,0,0
AZ,3,52533,38537,0,184,0
AR,9,77751,119196,429,317,0
CA,13,1162323,614365,19595,112,0
CO,6,253872,133131,3472,675,0
CT,7,296614,252040,3019,730,622
DE,3,68860,36643,329,59,0
FL,6,144168,101764,4036,3704,0
GA,14,99369,129602,124,64,0
ID,4,97322,52926,1293,0,0
IL,29,1769141,1313817,19138,3581,1812
IN,15,848290,562691,3871,321,645
IA,13,623570,379311,2960,328,230
KS,10,513672,193003,6205,320,0
KY,13,558064,381070,837,293,340
LA,10,51160,164655,0,0,0
ME,6,179923,81179,1068,0,0
MD,8,301479,223626,1701,636,906
MA,18,775566,792758,6262,2461,772
MI,15,965396,396762,3516,2881,799
MN,12,560977,396451,6774,4853,1921
MS,10,27153,124539,0,0,0
MO,18,834080,662562,3739,0,340
MT,4,113300,78578,1667,563,0
NE,8,345745,197959,3434,0,0
NV,3,18327,14090,0,0,0
NH,4,115404,80715,465,173,0
NJ,14,925285,616162,4866,1240,488
NM,3,69645,48211,0,158,0
NY,45,2193344,2089863,107332,10876,4211
NC,12,348923,286227,0,0,0
ND,5,131441,106648,936,842,0
OH,24,1627546,864210,8683,2836,1515
OK,10,394046,219174,3924,0,0
OR,5,205341,109223,2720,1094,1564
PA,38,2055382,1067586,18647,4726,380
RI,5,117522,118973,0,283,416
SC,9,5858,62700,47,0,0
SD,5,157603,102660,443,232,0
TN,12,195388,167343,631,111,0
TX,20,367036,341032,722,209,0
UT,4,94618,80985,954,46,0
VT,4,90404,44440,0,0,0
VA,12,164609,140146,250,173,180
WA,7,335844,156772,2615,1541,4068
WV,8,375551,263784,1313,401,0
WI,13,544205,450259,18213,1528,381
WY,3,52748,29299,788,0,0
