#  Nixon, McGovern, Schmitz, Hospers
AL,9,728701,256923,11918,
AK,3,55349,32967,6903,
AZ,6,402812,198540,21208,
AR,6,445751,198899,3016,
CA,45,4602096,3475847,232554,980
CO,7,597189,329980,17269,1111
CT,8,810763,555498,17239,
DE,3,140357,92283,2638,
DC,3,35226,127627,,
FL,17,1857759,718117,,
GA,12,881496,289529,812,
HI,4,168865,101409,,
ID,4,199384,80826,28869,
IL,26,2788179,1913472,2471,
IN,13,1405154,708568,,
IA,8,706207,496206,22056,
KS,7,619812,270287,21808,
KY,9,676446,371159,17627,
LA,10,686852,298142,52099,
ME,4,256458,160584,117,1
MD,10,829305,505781,18726,
MA,14,1112078,1332540,2877,43
MI,21,1961721,1459435,63321,
MN,10,898269,802346,31407,
MS,7,505125,126782,11598,
MO,12,1154058,698531,,
MT,4,183976,120197,13430,
NE,5,406298,169991,,
NV,3,115750,66016,,
NH,4,213724,116435,3386,
NJ,17,1845502,1102211,34378,
NM,4,235606,141084,8767,
NY,41,4192778,2951084,,
NC,13,1054889,438705,25018,
ND,3,174109,100384,5646,
OH,25,2441827,1558889,80067,
OK,8,759025,247147,23728,
OR,6,486686,392760,46211,
PA,27,2714521,1796951,70593,
RI,4,220383,194645,25,2
SC,8,478427,189270,10166,
SD,4,166476,139945,,
TN,10,813147,357293,30373,
TX,26,2298896,1154291,7098,
UT,4,323643,126284,28549,
VT,3,117149,68174,,
VA,12,988493,438887,19721,
WA,9,837135,568334,58906,1537
WV,6,484964,277435,,
WI,11,989430,810174,47525,
WY,3,100464,44358,748,
